               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         912K  32.5T      0      2      0  7.54K
ost1         912K  32.5T      0      2      0  7.58K
ost2         912K  32.5T      0      2      0  7.70K
ost3         912K  32.5T      0      2      0  7.82K
ost4         912K  32.5T      0      2      0  7.93K
ost5         912K  32.5T      0      2      0  6.84K
----------  -----  -----  -----  -----  -----  -----
ost0        60.9G  32.4T      5  1.08K  21.1K   941M
ost1        59.2G  32.4T      4  1.04K  19.5K   907M
ost2        61.2G  32.4T      4  1.06K  19.1K   932M
ost3        59.5G  32.4T      5  1.07K  23.5K   911M
ost4        61.3G  32.4T      5  1.08K  20.9K   933M
ost5        57.6G  32.4T      4  1.01K  18.0K   886M
----------  -----  -----  -----  -----  -----  -----
ost0         118G  32.4T      4  1.11K  17.5K   855M
ost1         115G  32.4T      4  1.05K  17.7K   844M
ost2         117G  32.4T      4  1.05K  19.5K   851M
ost3         116G  32.4T      4  1.12K  18.1K   852M
ost4         117G  32.4T      4  1.12K  17.5K   854M
ost5         114G  32.4T      4  1.06K  19.4K   850M
----------  -----  -----  -----  -----  -----  -----
ost0         173G  32.3T      2  1.24K  15.3K   843M
ost1         170G  32.3T      2  1.12K  14.1K   842M
ost2         173G  32.3T      2  1.16K  14.8K   843M
ost3         170G  32.3T      2  1.19K  17.5K   834M
ost4         173G  32.3T      2  1.17K  15.5K   843M
ost5         169G  32.3T      2  1.12K  17.3K   844M
----------  -----  -----  -----  -----  -----  -----
ost0         228G  32.3T      1  1.22K  14.1K   835M
ost1         225G  32.3T      1  1.18K  18.2K   832M
ost2         228G  32.3T      1  1.19K  15.3K   833M
ost3         225G  32.3T      1  1.22K  13.4K   832M
ost4         228G  32.3T      1  1.21K  15.3K   829M
ost5         224G  32.3T      1  1.14K  16.5K   836M
----------  -----  -----  -----  -----  -----  -----
ost0         283G  32.2T      2  1.15K  13.3K   824M
ost1         280G  32.2T      2  1.12K  12.7K   832M
ost2         282G  32.2T      2  1.13K  13.6K   827M
ost3         280G  32.2T      2  1.18K  14.2K   835M
ost4         282G  32.2T      2  1.15K  13.6K   827M
ost5         279G  32.2T      2  1.12K  13.9K   833M
----------  -----  -----  -----  -----  -----  -----
ost0         338G  32.2T      2  1.16K  10.1K   834M
ost1         334G  32.2T      2  1.11K  11.4K   827M
ost2         336G  32.2T      2  1.12K  10.0K   827M
ost3         335G  32.2T      2  1.15K  11.5K   830M
ost4         337G  32.2T      2  1.14K  12.4K   829M
ost5         334G  32.2T      2  1.09K  11.7K   825M
----------  -----  -----  -----  -----  -----  -----
ost0         391G  32.1T      1  1.18K  6.73K   816M
ost1         389G  32.1T      1  1.13K  7.73K   830M
ost2         391G  32.1T      1  1.16K  11.5K   833M
ost3         390G  32.1T      1  1.16K  7.40K   826M
ost4         391G  32.1T      1  1.15K  7.73K   829M
ost5         388G  32.1T      1  1.15K  7.87K   829M
----------  -----  -----  -----  -----  -----  -----
ost0         445G  32.1T      1  1.19K  4.93K   821M
ost1         442G  32.1T      1  1.12K  6.40K   814M
ost2         445G  32.1T      1  1.18K  12.9K   814M
ost3         443G  32.1T      1  1.16K  6.87K   818M
ost4         444G  32.1T      1  1.15K  6.00K   809M
ost5         441G  32.1T      1  1.12K  6.00K   812M
----------  -----  -----  -----  -----  -----  -----
ost0         499G  32.0T      1  1.17K  7.87K   816M
ost1         496G  32.0T      1  1.12K  6.33K   815M
ost2         499G  32.0T      1  1.18K  17.1K   820M
ost3         496G  32.0T      1  1.14K  7.00K   809M
ost4         498G  32.0T      1  1.18K  6.47K   821M
ost5         496G  32.0T      1  1.12K  6.93K   820M
----------  -----  -----  -----  -----  -----  -----
ost0         552G  32.0T      2  1.12K  11.9K   814M
ost1         550G  32.0T      2  1.09K  9.01K   813M
ost2         553G  32.0T      2  1.12K  11.7K   818M
ost3         550G  32.0T      2  1.10K  11.5K   815M
ost4         552G  32.0T      2  1.12K  10.3K   811M
ost5         550G  32.0T      2  1.07K  11.9K   815M
----------  -----  -----  -----  -----  -----  -----
