               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T      0    606  4.09K   563M
ost1         642G  35.6T      0    608  4.07K   565M
ost2         642G  35.6T      0    607  4.11K   567M
ost3         633G  35.6T      0    609  3.74K   568M
ost4         642G  35.6T      0    611  4.01K   570M
ost5         642G  35.6T      1    618  4.22K   572M
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.34K      0  1.32G      0
ost1         642G  35.6T  1.32K      0  1.30G      0
ost2         642G  35.6T  1.32K      0  1.29G      0
ost3         642G  35.6T  1.31K     16  1.29G  13.2M
ost4         642G  35.6T  1.35K      0  1.33G      0
ost5         642G  35.6T  1.35K      0  1.33G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.26K      0  1.24G      0
ost1         642G  35.6T  1.25K      0  1.23G      0
ost2         642G  35.6T  1.25K      0  1.23G      0
ost3         642G  35.6T  1.27K      0  1.25G      0
ost4         642G  35.6T  1.26K      0  1.24G      0
ost5         642G  35.6T  1.27K      0  1.25G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.22K      0  1.20G      0
ost1         642G  35.6T  1.21K      0  1.20G      0
ost2         642G  35.6T  1.21K      0  1.19G      0
ost3         642G  35.6T  1.20K      0  1.18G      0
ost4         642G  35.6T  1.22K      0  1.20G      0
ost5         642G  35.6T  1.22K      0  1.20G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.30K      0  1.28G      0
ost1         642G  35.6T  1.29K      0  1.27G      0
ost2         642G  35.6T  1.29K      0  1.26G      0
ost3         642G  35.6T  1.26K      0  1.24G      0
ost4         642G  35.6T  1.30K      0  1.28G      0
ost5         642G  35.6T  1.30K      0  1.28G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.20K      0  1.18G      0
ost1         642G  35.6T  1.19K      0  1.17G      0
ost2         642G  35.6T  1.19K      0  1.17G      0
ost3         642G  35.6T  1.17K      0  1.15G      0
ost4         642G  35.6T  1.21K      0  1.19G      0
ost5         642G  35.6T  1.20K      0  1.18G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.28K      0  1.26G      0
ost1         642G  35.6T  1.26K      0  1.24G      0
ost2         642G  35.6T  1.26K      0  1.24G      0
ost3         642G  35.6T  1.25K      0  1.23G      0
ost4         642G  35.6T  1.29K      0  1.27G      0
ost5         642G  35.6T  1.29K      0  1.26G      0
----------  -----  -----  -----  -----  -----  -----
