               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0        1.34M  36.2T      0      1      0  4.61K
ost1        1.34M  36.2T      0      1      0  4.67K
ost2        1.34M  36.2T      0      1      0  4.73K
ost3        1.34M  36.2T      0      1      0  4.83K
ost4        1.34M  36.2T      0      1      0  4.86K
ost5        1.34M  36.2T      0      1      0  4.18K
----------  -----  -----  -----  -----  -----  -----
ost0        51.7G  36.2T      0    785  2.20K   747M
ost1        47.3G  36.2T      0    731  3.00K   693M
ost2        51.5G  36.2T      0    742  2.87K   702M
ost3        50.3G  36.2T      0    784  2.67K   745M
ost4        49.8G  36.2T      0    742  2.73K   705M
ost5        46.5G  36.2T      0    723  2.87K   681M
----------  -----  -----  -----  -----  -----  -----
ost0         104G  36.1T      0    790  3.13K   754M
ost1        98.1G  36.2T      0    780  4.00K   741M
ost2        93.1G  36.2T      0    692  3.80K   655M
ost3         104G  36.1T      0    796  2.87K   763M
ost4         100G  36.2T      1    710  4.80K   665M
ost5         103G  36.1T      0    751  3.13K   718M
----------  -----  -----  -----  -----  -----  -----
ost0         159G  36.1T      1    732  5.47K   678M
ost1         155G  36.1T      0    798  3.80K   761M
ost2         153G  36.1T      0    763  3.53K   723M
ost3         158G  36.1T      1    706  5.27K   661M
ost4         156G  36.1T      0    793  4.80K   751M
ost5         153G  36.1T      1    755  4.60K   712M
----------  -----  -----  -----  -----  -----  -----
ost0         208G  36.0T      1    711  4.07K   669M
ost1         215G  36.0T      1    780  4.73K   732M
ost2         203G  36.1T      1    740  4.67K   689M
ost3         211G  36.0T      1    761  4.73K   710M
ost4         202G  36.1T      0    759  3.53K   719M
ost5         205G  36.0T      0    827  3.33K   787M
----------  -----  -----  -----  -----  -----  -----
ost0         253G  36.0T      0    698  3.93K   656M
ost1         263G  36.0T      0    744  3.27K   710M
ost2         250G  36.0T      0    723  3.27K   689M
ost3         258G  36.0T      1    737  4.07K   686M
ost4         256G  36.0T      1    741  4.20K   691M
ost5         266G  36.0T      0    809  3.47K   770M
----------  -----  -----  -----  -----  -----  -----
ost0         303G  36.0T      0    700  3.14K   667M
ost1         312G  35.9T      0    710  3.00K   680M
ost2         299G  36.0T      0    707  3.14K   676M
ost3         307G  36.0T      0    707  2.73K   678M
ost4         304G  36.0T      0    705  2.87K   676M
ost5         315G  35.9T      0    715  3.33K   684M
----------  -----  -----  -----  -----  -----  -----
ost0         360G  35.9T      0    767  4.07K   732M
ost1         363G  35.9T      1    709  6.47K   657M
ost2         354G  35.9T      0    780  3.60K   743M
ost3         362G  35.9T      0    789  3.47K   752M
ost4         360G  35.9T      0    806  4.20K   767M
ost5         363G  35.9T      1    721  5.33K   670M
----------  -----  -----  -----  -----  -----  -----
ost0         405G  35.9T      0    699  4.00K   665M
ost1         414G  35.8T      1    765  4.20K   730M
ost2         408G  35.9T      0    778  3.33K   748M
ost3         411G  35.8T      0    701  3.87K   665M
ost4         415G  35.8T      0    784  3.27K   753M
ost5         418G  35.8T      1    782  4.07K   749M
----------  -----  -----  -----  -----  -----  -----
ost0         460G  35.8T      0    788  3.80K   753M
ost1         465G  35.8T      0    694  3.87K   656M
ost2         465G  35.8T      0    797  3.20K   763M
ost3         464G  35.8T      0    768  3.67K   731M
ost4         469G  35.8T      0    743  3.60K   708M
ost5         464G  35.8T      1    658  4.33K   608M
----------  -----  -----  -----  -----  -----  -----
ost0         511G  35.8T      0    714  3.80K   670M
ost1         518G  35.7T      0    813  2.67K   780M
ost2         523G  35.7T      0    805  2.94K   767M
ost3         521G  35.7T      0    771  3.94K   721M
ost4         519G  35.7T      0    713  4.54K   665M
ost5         521G  35.7T      0    755  3.87K   706M
----------  -----  -----  -----  -----  -----  -----
ost0         562G  35.7T      0    744  2.47K   710M
ost1         575G  35.7T      0    765  2.93K   733M
ost2         575G  35.7T      0    752  3.40K   723M
ost3         571G  35.7T      0    746  2.27K   713M
ost4         570G  35.7T      0    704  3.47K   661M
ost5         569G  35.7T      0    755  2.07K   725M
----------  -----  -----  -----  -----  -----  -----
ost0         614G  35.7T      0    714  2.80K   680M
ost1         627G  35.6T      0    717  2.73K   683M
ost2         627G  35.6T      0    697  3.33K   664M
ost3         623G  35.6T      0    706  3.00K   672M
ost4         616G  35.6T      0    692  3.53K   653M
ost5         622G  35.6T      0    717  3.60K   679M
----------  -----  -----  -----  -----  -----  -----
