               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         936K  32.5T      0      1      0  3.71K
ost1         936K  32.5T      0      1      0  3.74K
ost2         936K  32.5T      0      1      0  3.78K
ost3         936K  32.5T      0      1      0  3.81K
ost4         936K  32.5T      0      1      0  3.85K
ost5         936K  32.5T      0      0      0  3.35K
----------  -----  -----  -----  -----  -----  -----
ost0        71.9G  32.4T      3  1.21K  12.7K  1.07G
ost1        70.3G  32.4T      1  1.14K  8.00K  1.04G
ost2        67.7G  32.4T      2  1.13K  9.67K  1.03G
ost3        70.7G  32.4T      2  1.17K  10.2K  1.06G
ost4        72.3G  32.4T      3  1.19K  12.3K  1.07G
ost5        65.8G  32.4T      1  1.11K  6.20K  1.03G
----------  -----  -----  -----  -----  -----  -----
ost0         146G  32.4T      4  1.24K  17.9K  1.10G
ost1         146G  32.4T      1  1.22K  6.87K  1.16G
ost2         144G  32.4T      1  1.20K  8.60K  1.13G
ost3         147G  32.4T      3  1.22K  13.4K  1.12G
ost4         149G  32.4T      3  1.26K  14.3K  1.14G
ost5         141G  32.4T      1  1.19K  7.93K  1.13G
----------  -----  -----  -----  -----  -----  -----
ost0         221G  32.3T      3  1.29K  15.3K  1.13G
ost1         219G  32.3T      2  1.17K  9.47K  1.09G
ost2         221G  32.3T      1  1.22K  6.67K  1.15G
ost3         221G  32.3T      3  1.21K  13.3K  1.10G
ost4         226G  32.3T      2  1.28K  12.5K  1.17G
ost5         219G  32.3T      1  1.19K  6.80K  1.12G
----------  -----  -----  -----  -----  -----  -----
ost0         300G  32.2T      3  1.30K  12.4K  1.14G
ost1         295G  32.2T      2  1.19K  8.94K  1.11G
ost2         299G  32.2T      1  1.21K  7.14K  1.14G
ost3         296G  32.2T      2  1.24K  11.1K  1.13G
ost4         305G  32.2T      2  1.27K  11.0K  1.16G
ost5         297G  32.2T      1  1.18K  7.94K  1.11G
----------  -----  -----  -----  -----  -----  -----
ost0         376G  32.1T      3  1.30K    12K  1.14G
ost1         371G  32.1T      2  1.18K  8.93K  1.12G
ost2         376G  32.1T      2  1.20K  9.07K  1.13G
ost3         372G  32.1T      3  1.24K  13.4K  1.12G
ost4         383G  32.1T      3  1.28K  12.4K  1.15G
ost5         371G  32.1T      2  1.20K  8.80K  1.13G
----------  -----  -----  -----  -----  -----  -----
ost0         451G  32.1T      2  1.34K  10.5K  1.11G
ost1         448G  32.1T      1  1.20K  5.67K  1.13G
ost2         453G  32.1T      1  1.22K  6.27K  1.16G
ost3         446G  32.1T      2  1.26K  8.20K  1.10G
ost4         459G  32.1T      2  1.32K  8.73K  1.16G
ost5         447G  32.1T      1  1.19K  6.93K  1.11G
----------  -----  -----  -----  -----  -----  -----
ost0         524G  32.0T      2  1.32K  11.7K  1.10G
ost1         525G  32.0T      1  1.22K  4.47K  1.14G
ost2         529G  32.0T      1  1.20K  7.07K  1.11G
ost3         522G  32.0T      2  1.29K  8.14K  1.13G
ost4         539G  32.0T      1  1.31K  7.87K  1.16G
ost5         523G  32.0T      1  1.21K  6.27K  1.13G
----------  -----  -----  -----  -----  -----  -----
