               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0        1.37M  36.2T      0      4      0  15.9K
ost1        1.37M  36.2T      0      5      0  17.0K
ost2        1.37M  36.2T      0      5      0  18.2K
ost3        1.37M  36.2T      0      5      0  19.5K
ost4        1.37M  36.2T      0      6      0  21.1K
ost5        1.37M  36.2T      0      5      0  19.7K
----------  -----  -----  -----  -----  -----  -----
ost0        46.6G  36.2T      0    690  3.40K   645M
ost1        51.7G  36.2T      0    761  2.53K   721M
ost2        46.6G  36.2T      0    716  3.33K   673M
ost3        53.9G  36.2T      0    789     2K   752M
ost4        46.1G  36.2T      0    679  2.80K   637M
ost5        50.5G  36.2T      0    752  2.80K   708M
----------  -----  -----  -----  -----  -----  -----
ost0         101G  36.2T      1    780  5.46K   734M
ost1         105G  36.1T      1    758  5.20K   713M
ost2        99.9G  36.2T      1    780  4.87K   736M
ost3         103G  36.1T      1    706  5.93K   655M
ost4        96.0G  36.2T      1    786  5.33K   741M
ost5         102G  36.2T      1    744  5.53K   696M
----------  -----  -----  -----  -----  -----  -----
ost0         155G  36.1T      1    807  5.80K   761M
ost1         158G  36.1T      1    786  6.87K   733M
ost2         160G  36.1T      1    822  6.13K   774M
ost3         150G  36.1T      1    703  6.80K   647M
ost4         150G  36.1T      1    727  8.27K   669M
ost5         147G  36.1T      1    718  8.53K   656M
----------  -----  -----  -----  -----  -----  -----
ost0         208G  36.0T      1    780  6.73K   721M
ost1         208G  36.0T      1    731  5.73K   669M
ost2         214G  36.0T      1    792  5.27K   742M
ost3         202G  36.1T      1    777  6.20K   717M
ost4         203G  36.1T      1    772  6.60K   711M
ost5         205G  36.0T      1    802  6.73K   745M
----------  -----  -----  -----  -----  -----  -----
ost0         258G  36.0T      1    750  5.67K   696M
ost1         256G  36.0T      1    763  6.34K   703M
ost2         267G  36.0T      1    800  4.41K   758M
ost3         251G  36.0T      1    735  5.80K   679M
ost4         253G  36.0T      1    795  5.21K   747M
ost5         251G  36.0T      1    691  6.47K   630M
----------  -----  -----  -----  -----  -----  -----
ost0         315G  35.9T      1    793  6.13K   746M
ost1         310G  35.9T      1    765  6.07K   716M
ost2         315G  35.9T      1    699  7.87K   642M
ost3         308G  35.9T      1    820  5.34K   774M
ost4         307G  36.0T      1    748  6.13K   700M
ost5         300G  36.0T      1    764  6.88K   707M
----------  -----  -----  -----  -----  -----  -----
ost0         370G  35.9T      1    805  6.80K   755M
ost1         364G  35.9T      1    767  7.60K   713M
ost2         367G  35.9T      1    735  7.13K   684M
ost3         362G  35.9T      1    769  7.73K   716M
ost4         359G  35.9T      2    753  8.07K   698M
ost5         353G  35.9T      1    759  7.53K   700M
----------  -----  -----  -----  -----  -----  -----
ost0         420G  35.8T      1    744  6.20K   688M
ost1         413G  35.8T      1    751  6.80K   692M
ost2         418G  35.8T      1    803  6.53K   751M
ost3         413G  35.8T      1    791  6.47K   732M
ost4         409G  35.9T      1    746  6.73K   683M
ost5         405G  35.9T      1    750  7.20K   689M
----------  -----  -----  -----  -----  -----  -----
ost0         472G  35.8T      1    809  5.20K   749M
ost1         459G  35.8T      1    719  5.40K   648M
ost2         477G  35.8T      1    804  4.60K   748M
ost3         465G  35.8T      1    757  4.53K   698M
ost4         458G  35.8T      1    808  5.07K   741M
ost5         456G  35.8T      1    759  5.87K   685M
----------  -----  -----  -----  -----  -----  -----
ost0         522G  35.7T      1    768  5.21K   704M
ost1         508G  35.8T      1    731  5.13K   661M
ost2         531G  35.7T      0    805  3.81K   751M
ost3         519G  35.7T      1    768  4.61K   709M
ost4         512G  35.8T      1    721  5.07K   650M
ost5         508G  35.8T      1    785     4K   722M
----------  -----  -----  -----  -----  -----  -----
ost0         585G  35.7T      1    825  5.33K   767M
ost1         559G  35.7T      1    723  5.14K   648M
ost2         587G  35.7T      1    790  5.07K   735M
ost3         574G  35.7T      1    797  5.00K   743M
ost4         559G  35.7T      1    717  5.87K   637M
ost5         561G  35.7T      0    791  3.61K   730M
----------  -----  -----  -----  -----  -----  -----
ost0         633G  35.6T      1    722  5.60K   654M
ost1         606G  35.7T      0    804  4.00K   744M
ost2         637G  35.6T      1    763  4.93K   710M
ost3         622G  35.6T      1    734  4.66K   664M
ost4         606G  35.7T      1    757  4.73K   693M
ost5         612G  35.7T      0    799  3.73K   745M
----------  -----  -----  -----  -----  -----  -----
