               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0        1.34M  36.2T      0      2      0  8.37K
ost1        1.34M  36.2T      0      2      0  8.52K
ost2        1.34M  36.2T      0      2      0  8.67K
ost3        1.34M  36.2T      0      2      0  8.81K
ost4        1.34M  36.2T      0      2      0  8.96K
ost5        1.34M  36.2T      0      2      0  7.81K
----------  -----  -----  -----  -----  -----  -----
ost0        43.9G  36.2T      0    703  3.93K   656M
ost1        44.0G  36.2T      0    707  2.80K   663M
ost2        49.6G  36.2T      0    740  2.67K   698M
ost3        48.5G  36.2T      0    727  2.87K   687M
ost4        50.0G  36.2T      0    760  2.47K   721M
ost5        53.3G  36.2T      0    792  2.40K   756M
----------  -----  -----  -----  -----  -----  -----
ost0        97.2G  36.2T      1    738  6.13K   689M
ost1         105G  36.1T      0    815  3.47K   777M
ost2        99.3G  36.2T      1    719  5.33K   671M
ost3         102G  36.2T      1    766  4.20K   724M
ost4         106G  36.1T      0    777  4.00K   736M
ost5         104G  36.1T      1    727  5.20K   675M
----------  -----  -----  -----  -----  -----  -----
ost0         151G  36.1T      1    775  6.53K   724M
ost1         155G  36.1T      1    797  6.13K   750M
ost2         152G  36.1T      1    791  6.53K   744M
ost3         155G  36.1T      1    764  6.33K   707M
ost4         154G  36.1T      1    748  6.00K   700M
ost5         151G  36.1T      1    718  6.60K   668M
----------  -----  -----  -----  -----  -----  -----
ost0         201G  36.1T      1    767  5.46K   714M
ost1         216G  36.0T      1    824  6.40K   770M
ost2         211G  36.0T      1    814  4.87K   767M
ost3         204G  36.1T      1    742  6.20K   685M
ost4         201G  36.1T      1    742  6.26K   683M
ost5         204G  36.1T      1    750  6.93K   679M
----------  -----  -----  -----  -----  -----  -----
ost0         250G  36.0T      1    730  6.60K   670M
ost1         272G  36.0T      1    804  5.01K   756M
ost2         264G  36.0T      1    808  5.21K   759M
ost3         259G  36.0T      1    799  5.67K   745M
ost4         255G  36.0T      1    746  5.74K   689M
ost5         250G  36.0T      1    701  6.53K   641M
----------  -----  -----  -----  -----  -----  -----
ost0         308G  35.9T      1    822  6.07K   773M
ost1         317G  35.9T      1    684  7.33K   630M
ost2         316G  35.9T      1    736  6.87K   685M
ost3         313G  35.9T      1    777  4.93K   733M
ost4         312G  35.9T      1    798  6.60K   749M
ost5         299G  36.0T      1    708  6.88K   652M
----------  -----  -----  -----  -----  -----  -----
ost0         360G  35.9T      1    725  6.53K   675M
ost1         372G  35.9T      1    781     7K   732M
ost2         366G  35.9T      1    739  5.73K   696M
ost3         360G  35.9T      1    751  4.13K   701M
ost4         369G  35.9T      1    796     6K   752M
ost5         347G  35.9T      1    750  6.80K   701M
----------  -----  -----  -----  -----  -----  -----
ost0         410G  35.8T      1    764  4.20K   718M
ost1         416G  35.8T      1    784  4.80K   742M
ost2         413G  35.8T      1    719  5.67K   675M
ost3         411G  35.8T      1    697  4.47K   641M
ost4         419G  35.8T      1    804  5.40K   763M
ost5         399G  35.9T      1    753  5.27K   697M
----------  -----  -----  -----  -----  -----  -----
ost0         466G  35.8T      1    813  5.07K   747M
ost1         481G  35.8T      0    799  3.67K   748M
ost2         467G  35.8T      1    735  5.80K   665M
ost3         467G  35.8T      1    788  4.87K   739M
ost4         475G  35.8T      1    759  4.60K   691M
ost5         448G  35.8T      1    720  5.00K   653M
----------  -----  -----  -----  -----  -----  -----
ost0         518G  35.7T      1    774  4.27K   716M
ost1         530G  35.7T      1    726  4.61K   646M
ost2         514G  35.7T      0    779  4.34K   726M
ost3         517G  35.7T      1    731  4.27K   675M
ost4         525G  35.7T      0    808  4.21K   755M
ost5         500G  35.8T      0    834  3.53K   782M
----------  -----  -----  -----  -----  -----  -----
ost0         569G  35.7T      0    757  3.87K   697M
ost1         575G  35.7T      1    718  5.47K   662M
ost2         572G  35.7T      1    805     4K   757M
ost3         566G  35.7T      0    725  3.20K   675M
ost4         587G  35.7T      0    819  3.47K   773M
ost5         556G  35.7T      1    762  4.34K   692M
----------  -----  -----  -----  -----  -----  -----
ost0         624G  35.6T      0    820  3.73K   763M
ost1         622G  35.6T      1    730  4.93K   660M
ost2         629G  35.6T      1    776  5.00K   715M
ost3         610G  35.7T      1    690  5.33K   624M
ost4         636G  35.6T      1    722  6.07K   653M
ost5         615G  35.6T      1    843  4.27K   782M
----------  -----  -----  -----  -----  -----  -----
